"","SOC","pH","CEC","TP","TK","AK","AP","TN","NO3","NH4","DOC","MAT","AI","AD","Neg","Int","SR"
"S1.A.D",27.7946109396752,7.85,18.19063578,0.92,14.80669589,171.4,25.41,2.229,111.4998666,0.372174033,150.3285353,2.2,0.7092,12.5982658959538,0,0.0952053223216334,305
"S1.A.U",27.5803311136891,7.83,18.34245904,0.8,14.96401439,175.6,24.36,2.321,100.4533756,2.28638974,97.20285139,2.2,0.7092,12.4645340751043,0.0102655657219371,0.0908279401919214,350
"S1.F.1.D",11.4789099535963,7.93,9.048797019,0.39,13.17365269,113.5,1.01,0.7,7.892168467,2.397276585,189.3681528,3.2,0.7129,11.9539473684211,0.000275178866263071,0.0880572372041827,271
"S1.F.1.U",16.4540529988399,7.88,14.02969878,0.36,13.48841853,194.5,2.51,1.052,20.03088038,27.8206672,284.8753544,3.2,0.7129,11.9615384615385,0.00991425509110396,0.0937834941050375,327
"S1.G.D",114.861331322506,7.72,34.38809732,0.69,15.34317638,122.9,2.11,5.708,41.17178221,17.34298428,312.7841902,0.7,0.6341,10.7260940032415,0.00181323662737987,0.0903596252644303,366
"S1.G.U",139.792332888631,7.13,37.08411995,0.47,15.02792182,357.7,3.31,7.312,66.03262011,12.37357575,231.7207368,0.7,0.6341,10.5806451612903,0.0013550135501355,0.0853658536585366,255
"S1.W.1.D",41.0667799535963,7.49,17.1405098,0.38,13.68715084,126.1,5.76,2.512,1.664560119,14.53682563,125.3036935,3.2,0.7129,13.2166064981949,0.000273149412728763,0.090958754438678,503
"S1.W.1.U",42.312576363109,7.44,21.85740097,0.49,14.07931447,188.2,14.16,3.634,2.424641365,16.76650112,113.0814957,3.2,0.7129,12.2957486136784,0.000300661455201443,0.0835838845460012,425
"S10.A.D",12.6364890429234,8.39,11.04948566,0.26,20.67346123,165,11.06,1.029,9.364023998,0.626030426,120.7264898,4.5,0.8106,10.7355704697987,0.000250062515628907,0.100025006251563,336
"S10.A.U",12.2299504118329,8.4,11.84981263,0.58,21.68662675,235.6,36.71,1.108,2.768682575,1.421222601,92.71539442,4.5,0.8106,10.9696169088507,0.00939306358381503,0.098747591522158,313
"S10.F.D",11.5069346403712,8.26,11.34290508,0.37,21.80511182,146.1,0.96,0.916,1.477781502,0.641398221,84.82316549,4.5,0.8106,10.7314285714286,0.00212992545260916,0.0982428115015974,348
"S10.F.U",14.9610190603248,8.15,11.9859224,0.1,19.43222711,227.2,1.81,1.106,4.604929586,1.094999604,83.69446976,4.5,0.8106,9.87709497206704,0.0113122171945701,0.0856900452488688,418
"S10.H.D",10.3482228190255,8.01,10.52444814,0.2,18.75249103,171.4,1.61,0.708,4.10208567,0.287141743,82.75637729,4.5,0.8106,8.98928024502297,0.01396933560477,0.103577512776831,381
"S10.H.U",6.98005504060325,8.34,10.48791216,0.17,20.22954092,233.5,3.01,0.899,7.127640285,0.938791194,73.72780817,4.5,0.8106,8.17220543806646,0.0011090573012939,0.077264325323475,356
