"","cls","lay","long","lat","alt","se"
"S1.A.D","Agriculture","down",103.0819444,37.01311111,2527,"Med"
"S1.A.U","Agriculture","up",103.0819444,37.01311111,2527,"Hig"
"S1.F.1.D","Forest","down",103.153792,36.972767,2337,"Med"
"S1.F.1.U","Forest","up",103.153792,36.972767,2337,"Hig"
"S1.G.D","Grass","down",102.9598056,36.97569444,2729,"Hig"
"S1.G.U","Grass","up",102.9598056,36.97569444,2729,"Med"
"S1.W.1.D","Wetland","down",103.153792,36.972767,2337,"Hig"
"S1.W.1.U","Wetland","up",103.153792,36.972767,2337,"Hig"
"S10.A.D","Agriculture","down",101.7806667,38.28872222,2109,"Hig"
"S10.A.U","Agriculture","up",101.7806667,38.28872222,2109,"Med"
"S10.F.D","Forest","down",101.7806667,38.28872222,2109,"Hig"
"S10.F.U","Forest","up",101.7806667,38.28872222,2109,"Hig"
"S10.H.D","Desert","down",101.7806667,38.28872222,2109,"Hig"
"S10.H.U","Desert","up",101.7806667,38.28872222,2109,"Hig"
"S11.A.U","Agriculture","up",101.4325833,38.47216667,2426,"Hig"
"S11.G.D","Grass","down",101.566,38.40933333,2426,"Med"
"S11.G.U","Grass","up",101.566,38.40933333,2426,"Med"
"S11.H.D","Desert","down",101.566,38.40933333,2426,"Med"
"S11.H.U","Desert","up",101.566,38.40933333,2426,"Hig"
"S12.A.D","Agriculture","down",101.3197222,38.51533333,2278,"Hig"
"S12.A.U","Agriculture","up",101.3197222,38.51533333,2278,"Hig"
"S12.G.D","Grass","down",101.3197222,38.51533333,2278,"Med"
"S12.G.U","Grass","up",101.3197222,38.51533333,2278,"Hig"
"S12.H.D","Desert","down",101.3197222,38.51533333,2278,"Med"
"S12.H.U","Desert","up",101.3197222,38.51533333,2278,"Med"
"S12.W.D","Wetland","down",101.1358889,38.51347222,2156,"Hig"
"S12.W.U","Wetland","up",101.1358889,38.51347222,2156,"Hig"
"S13.F.D","Forest","down",101.13225,38.53413889,2140,"Hig"
"S13.F.U","Forest","up",101.13225,38.53413889,2140,"Hig"
"S13.G.D","Grass","down",101.13225,38.53413889,2140,"Med"
"S13.G.U","Grass","up",101.13225,38.53413889,2140,"Hig"
"S14.A.D","Agriculture","down",101.1123056,38.71188889,1884,"Med"
"S14.A.U","Agriculture","up",101.1123056,38.71188889,1884,"Med"
"S14.F.D","Forest","down",101.1123056,38.71188889,1884,"Low"
"S14.F.U","Forest","up",101.1123056,38.71188889,1884,"Hig"
"S14.H.D","Desert","down",101.1123056,38.71188889,1884,"Low"
"S14.H.U","Desert","up",101.1123056,38.71188889,1884,"Med"
"S15.G.D","Grass","down",101.0252222,38.81119444,1768,"Hig"
"S15.G.U","Grass","up",101.0252222,38.81119444,1768,"Med"
"S15.H.D","Desert","down",100.9956667,38.8215,1755,"Low"
"S15.H.U","Desert","up",100.9956667,38.8215,1755,"Low"
"S15.W.D","Wetland","down",101.0252222,38.81119444,1768,"Med"
"S15.W.U","Wetland","up",101.0252222,38.81119444,1768,"Med"
"S16.A.D","Agriculture","down",100.8059722,38.84702778,1642,"Med"
"S16.A.U","Agriculture","up",100.8059722,38.84702778,1642,"Med"
"S16.F.D","Forest","down",100.8059722,38.84702778,1642,"Hig"
"S16.F.U","Forest","up",100.8059722,38.84702778,1642,"Hig"
"S16.H.D","Desert","down",100.8059722,38.84702778,1642,"Low"
"S17.A.D","Agriculture","down",100.6011389,38.9405,1497,"Low"
"S17.A.U","Agriculture","up",100.6011389,38.9405,1497,"Low"
"S17.G.D","Grass","down",100.6011389,38.9405,1497,"Low"
"S17.G.U","Grass","up",100.6011389,38.9405,1497,"Low"
"S17.W.D","Wetland","down",100.6011389,38.9405,1497,"Hig"
"S17.W.U","Wetland","up",100.6011389,38.9405,1497,"Med"
"S18.A.D","Agriculture","down",100.4384444,38.97580556,1483,"Hig"
"S18.A.U","Agriculture","up",100.4384444,38.97580556,1483,"Med"
"S18.F.D","Forest","down",100.4384444,38.97580556,1483,"Med"
"S18.F.U","Forest","up",100.4384444,38.97580556,1483,"Med"
"S18.H.D","Desert","down",100.3603333,39.01744444,1486,"Low"
"S18.H.U","Desert","up",100.3603333,39.01744444,1486,"Low"
"S18.W.D","Wetland","down",100.4384444,38.97580556,1483,"Hig"
"S18.W.U","Wetland","up",100.4384444,38.97580556,1483,"Hig"
"S19.A.D","Agriculture","down",100.273,39.09327778,1480,"Med"
"S19.A.U","Agriculture","up",100.273,39.09327778,1480,"Med"
"S19.F.D","Forest","down",100.273,39.09327778,1480,"Med"
"S19.F.U","Forest","up",100.273,39.09327778,1480,"Med"
"S2.A.D","Agriculture","down",103.0005278,37.08483333,2614,"Hig"
"S2.A.U","Agriculture","up",103.0005278,37.08483333,2614,"Hig"
"S2.F.D","Forest","down",103.0005278,37.08483333,2614,"Med"
"S2.F.U","Forest","up",103.0005278,37.08483333,2614,"Med"
"S2.W.D","Wetland","down",103.0005278,37.08483333,2614,"Hig"
"S2.W.U","Wetland","up",103.0005278,37.08483333,2614,"Hig"
"S20.A.D","Agriculture","down",100.0218333,39.1965,1455,"Hig"
"S20.A.U","Agriculture","up",100.0218333,39.1965,1455,"Med"
"S20.F.D","Forest","down",100.0218333,39.1965,1455,"Med"
"S20.F.U","Forest","up",100.0218333,39.1965,1455,"Med"
"S20.G.D","Grass","down",100.0658056,39.25188889,1412,"Low"
"S20.G.U","Grass","up",100.0658056,39.25188889,1412,"Low"
"S20.H.D","Desert","down",100.0218333,39.1965,1455,"Low"
